mt,ks,0,0
non,0,59,0,24
non,0,62,87,196
non,0,71,0,8
non,0,67,0,8
non,0,59,81,20
non,0,46,0,40
non,0,59,0,24
non,0,57,0,8
non,0,53,0,8
non,0,62,0,8
non,0,57,74,48
non,0,62,73,0
non,0,46,68,8
non,0,53,76,0
non,0,59,77,0
non,0,62,0,16
non,0,71,96,0
non,0,55,64,8
non,0,62,0,8
non,0,67,84,0
non,0,59,0,12
non,0,46,0,372
non,0,46,71,72
non,0,52,25,64
non,0,52,0,32
non,0,50,73,56
non,0,55,0,48
non,0,46,0,104
non,0,46,47,56
non,0,46,0,80
non,0,46,61,64
non,0,47,74,24
non,0,50,0,8
non,0,62,0,192
non,0,59,0,16
non,0,57,0,8
non,0,53,0,24
non,0,53,78,32
non,0,57,82,8
non,0,59,85,0
non,0,62,82,8
non,0,57,0,56
non,0,59,0,0
non,0,62,0,8
non,0,53,0,8
non,0,46,0,24
non,0,47,0,48
non,0,50,59,8
non,0,46,61,8
non,0,57,74,288
non,0,59,71,0
non,0,62,62,0
non,0,53,70,8
non,0,46,0,104
non,0,55,70,40
non,0,50,0,8
non,0,46,60,32
non,0,46,0,256
non,0,46,48,56
non,0,46,0,88
non,0,46,53,56
non,0,53,35,24
non,0,55,0,16
non,0,46,0,216
non,0,59,81,12
non,0,67,0,12
non,0,62,79,8
non,0,46,44,32
non,0,71,0,4
non,0,46,0,76
non,0,67,77,48
non,0,59,0,8
non,0,71,86,0
non,0,62,0,12
non,0,57,0,4
non,0,59,0,0
non,0,46,63,8
non,0,53,0,0
non,0,62,0,16
non,0,50,62,8
non,0,53,0,0
non,0,69,70,104
non,0,72,75,12
non,0,67,0,8
non,0,71,0,36
non,0,67,77,116
non,0,69,0,0
non,0,71,94,0
non,0,72,0,0
non,0,53,68,4
non,0,62,70,0
non,0,57,81,8
non,0,59,81,8
non,0,57,0,64
non,0,59,0,0
non,0,62,0,8
non,0,53,0,8
non,0,46,0,8
non,0,53,65,88
non,0,46,56,8
non,0,50,0,8
non,0,46,0,392
non,0,50,66,56
non,0,46,64,8
non,0,53,0,0
non,0,46,0,272
non,0,46,36,40
non,0,46,0,88
non,0,46,60,56
non,0,47,73,8
non,0,53,67,0
non,0,50,0,8
non,0,57,83,296
non,0,59,81,0
non,0,62,76,0
non,0,46,0,112
non,0,46,62,48
non,0,48,66,0
non,0,47,0,16
non,0,46,0,376
non,0,52,57,56
non,0,53,0,16
non,0,46,58,8
non,0,50,65,32
non,0,48,0,16
non,0,71,0,240
non,0,57,0,24
non,0,59,0,0
non,0,67,0,56
non,0,46,0,24
non,0,62,0,16
non,0,52,0,40
non,0,55,80,24
non,0,58,87,0
non,0,62,77,0
non,0,46,58,16
non,0,48,63,0
non,0,50,0,0
non,0,52,77,0
non,0,64,73,16
non,0,67,93,0
non,0,48,0,432
non,0,46,0,8
non,0,52,58,24
non,0,46,49,16
non,0,52,0,288
non,0,55,0,0
non,0,58,0,0
non,0,62,0,8
non,0,52,88,32
non,0,64,0,0
non,0,55,83,8
non,0,58,81,0
non,0,62,84,0
non,0,46,0,56
non,0,67,0,4
non,0,58,0,4
non,0,55,0,8
non,0,62,0,0
non,0,52,0,8
non,0,52,0,32
non,0,46,54,24
non,0,55,67,0
non,0,65,78,8
non,0,69,87,0
non,0,46,0,280
non,0,46,59,64
non,0,58,88,80
non,0,62,78,0
non,0,46,0,8
non,0,52,80,8
non,0,55,76,0
non,0,65,0,8
non,0,67,80,0
non,0,70,90,16
non,0,55,0,16
non,0,60,85,0
non,0,69,0,0
non,0,46,69,16
non,0,52,0,152
non,0,58,0,0
non,0,55,0,8
non,0,62,0,0
non,0,58,91,152
non,0,62,80,0
non,0,52,87,16
non,0,55,85,0
non,0,61,66,8
non,0,46,0,32
non,0,61,0,0
non,0,46,40,72
non,0,60,0,16
non,0,52,0,8
non,0,58,0,0
non,0,55,0,8
non,0,62,0,0
non,0,58,71,8
non,0,46,0,408
non,0,55,68,72
non,0,69,72,4
non,0,46,54,12
non,0,58,0,0
non,0,67,0,4
non,0,70,0,0
non,0,72,76,0
non,0,46,0,332
non,0,46,60,88
non,0,67,79,20
non,0,69,0,0
non,0,52,69,12
non,0,70,90,4
non,0,58,81,20
non,0,72,0,0
